Regiao,Species,Perc
Sul,azevem ,40
Sul,buva ,69
Sul,capim-amargoso ,19
Sul,capim-branco ,7
Sul,capim-pe-de-galinha ,19
Sul,Palmer ,0
Sudeste,azevem ,7
Sudeste,buva ,50
Sudeste,capim-amargoso ,52
Sudeste,capim-branco ,4
Sudeste,capim-pe-de-galinha ,18
Sudeste,Palmer ,1
Centro,azevem ,6
Centro,buva ,51
Centro,capim-amargoso ,65
Centro,capim-branco ,5
Centro,capim-pe-de-galinha ,32
Centro,Palmer ,3
Nordeste,azevem ,9
Nordeste,buva ,50
Nordeste,capim-amargoso ,50
Nordeste,capim-branco ,5
Nordeste,capim-pe-de-galinha ,27
Nordeste,Palmer ,5
Norte,azevem ,9
Norte,buva ,64
Norte,capim-amargoso ,55
Norte,capim-branco ,9
Norte,capim-pe-de-galinha ,36
Norte,Palmer ,0
Brasil,azevem ,16
Brasil,buva ,45
Brasil,capim-amargoso ,31
Brasil,capim-branco ,4
Brasil,capim-pe-de-galinha ,17
Brasil,Palmer ,1