Nivel,Regiao,Species,Perc
Excelente,Sul,Daninha,4.4
Satisfatorio,Sul,Daninha,71.1
Baixo,Sul,Daninha,24.4
Excelente,Sudeste,Daninha,17.4
Satisfatorio,Sudeste,Daninha,69.6
Baixo,Sudeste,Daninha,13
Excelente,Centro,Daninha,25
Satisfatorio,Centro,Daninha,61.4
Baixo,Centro,Daninha,13.6
Excelente,Nordeste,Daninha,18.8
Satisfatorio,Nordeste,Daninha,62.5
Baixo,Nordeste,Daninha,18.8
Excelente,Norte,Daninha,44.4
Satisfatorio,Norte,Daninha,45.5
Baixo,Norte,Daninha,0
Excelente,Brasil,Daninha,11.6
Satisfatorio,Brasil,Daninha,70.9
Baixo,Brasil,Daninha,17.6
Excelente,Sul,Insetos,25.8
Satisfatorio,Sul,Insetos,59.6
Baixo,Sul,Insetos,14.6
Excelente,Sudeste,Insetos,13.2
Satisfatorio,Sudeste,Insetos,72.1
Baixo,Sudeste,Insetos,14.7
Excelente,Centro,Insetos,28.6
Satisfatorio,Centro,Insetos,64.3
Baixo,Centro,Insetos,7.1
Excelente,Nordeste,Insetos,13.3
Satisfatorio,Nordeste,Insetos,53.3
Baixo,Nordeste,Insetos,33.3
Excelente,Norte,Insetos,33.3
Satisfatorio,Norte,Insetos,66.7
Baixo,Norte,Insetos,0
Excelente,Brasil,Insetos,22.2
Satisfatorio,Brasil,Insetos,63.9
Baixo,Brasil,Insetos,13.9
Excelente,Sul,Doencas,15.7
Satisfatorio,Sul,Doencas,68.5
Baixo,Sul,Doencas,15.7
Excelente,Sudeste,Doencas,13.2
Satisfatorio,Sudeste,Doencas,77.9
Baixo,Sudeste,Doencas,8.8
Excelente,Centro,Doencas,28.6
Satisfatorio,Centro,Doencas,66.7
Baixo,Centro,Doencas,4.8
Excelente,Nordeste,Doencas,20
Satisfatorio,Nordeste,Doencas,60
Baixo,Nordeste,Doencas,20
Excelente,Norte,Doencas,22.2
Satisfatorio,Norte,Doencas,77.8
Baixo,Norte,Doencas,0
Excelente,Brasil,Doencas,16.9
Satisfatorio,Brasil,Doencas,70.3
Baixo,Brasil,Doencas,12.8